일련번호,시도,시군구,읍면동,리,구분,번,지
82982,경상북도,경주시,외동읍,입실리,일반,53,6
82983,전라남도,영광군,염산면,봉남리,일반,1129,2
82984,대전광역시,대덕구,읍내동,,일반,506,62
82985,인천광역시,서구,가좌동,,일반,173,617
82986,경기도,양주시,남면,신암리,일반,199,1
82987,충청북도,제천시,왕암동,,일반,88,19
82988,경상북도,성주군,월항면,유월리,일반,997,1
82989,인천광역시,강화군,화도면,내리,일반,1528,
82990,경상북도,영주시,봉현면,대촌리,일반,417,15
82991,울산광역시,남구,두왕동,,일반,752,15
82992,경상남도,남해군,고현면,도마리,일반,1897,4
82993,경기도,안성시,서운면,양촌리,일반,460,
82994,경기도,안산시 단원구,신길동,,산,11,19
82995,충청남도,천안시 서북구,성거읍,오목리,일반,12,12
82996,제주특별자치도,제주시,조천읍,함덕리,일반,3616,
82997,충청남도,서산시,지곡면,환성리,일반,48,2
82998,충청남도,서산시,성연면,명천리,일반,797,2
82999,경기도,김포시,양촌읍,학운리,일반,2886,
83000,경상남도,김해시,생림면,나전리,일반,676,2
83001,대전광역시,유성구,신성동,,일반,375,16
83002,경기도,이천시,대포동,,일반,332,1
83003,전라남도,광양시,진월면,월길리,일반,1104,1
83004,경기도,시흥시,정왕동,,일반,2174,12
83005,대전광역시,유성구,궁동,,일반,423,8
83006,경상남도,김해시,주촌면,천곡리,일반,1455,
83007,경상남도,양산시,원동면,화제리,일반,104,5
83008,경기도,여주시,흥천면,신근리,일반,929,17
83009,경기도,포천시,영중면,양문리,일반,275,2
83010,전라남도,여수시,웅천동,,일반,1648,14
83011,충청남도,태안군,남면,신장리,일반,217,2
83012,경기도,포천시,군내면,상성북리,일반,470,18
83013,대전광역시,유성구,전민동,,일반,390,7
83014,경기도,양주시,광적면,덕도리,일반,862,8
83015,경기도,연천군,중면,중사리,일반,1184,
83016,전라남도,여수시,웅천동,,일반,1793,2
83017,경기도,안산시 단원구,성곡동,,일반,662,13
83018,인천광역시,남동구,고잔동,,일반,662,8
83019,대전광역시,유성구,어은동,,일반,110,5
83020,충청남도,천안시 서북구,백석동,,일반,611,2
83021,충청남도,공주시,의당면,청룡리,일반,101,8
83022,경상남도,통영시,광도면,덕포리,일반,353,2
83023,대구광역시,달성군,구지면,창리,일반,1439,11
83024,전라남도,장흥군,안양면,당암리,일반,936,65
83025,경기도,화성시,향남읍,관리,일반,246,2
83026,제주특별자치도,서귀포시,대정읍,상모리,일반,1616,2
83027,경기도,연천군,중면,중사리,일반,784,
83028,충청북도,진천군,덕산읍,구산리,일반,26,4
83029,전라남도,광양시,광양읍,익신리,일반,747,5
83030,경기도,연천군,중면,마거리,일반,557,
83031,충청북도,청주시 흥덕구,송절동,,일반,631,
83032,경상남도,통영시,도산면,법송리,일반,556,3
83033,경기도,남양주시,조안면,능내리,일반,518,17
83034,제주특별자치도,제주시,애월읍,고성리,일반,1545,2
83035,경기도,화성시,안녕동,,일반,188,593
83036,경기도,성남시 중원구,상대원동,,일반,446,5
83037,부산광역시,사하구,장림동,,일반,1088,15
83038,경상남도,사천시,사남면,월성리,산,19,
83039,경상북도,경주시,양남면,읍천리,일반,131,
83040,경상북도,안동시,풍산읍,수곡리,일반,92,1
83041,경상남도,김해시,진영읍,의전리,일반,191,3
83042,경기도,용인시 처인구,이동읍,덕성리,일반,1285,1
83043,경기도,고양시 일산동구,설문동,,일반,626,5
83044,경상북도,영주시,문정동,,일반,408,1
83045,울산광역시,울주군,온산읍,덕신리,일반,1312,16
83046,경기도,연천군,중면,중사리,일반,1231,
83047,전라남도,곡성군,목사동면,용봉리,일반,425,5
83048,전라남도,광양시,태인동,,일반,581,
83049,경상북도,고령군,성산면,삼대리,일반,306,
